step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,7725.11,C116070,17067.46,9342.35,C520922,16527.66,24252.77,0,0
1,DEBIT,20649.88,C421259,39532.19,18882.31,C935313,48123.31,68773.19,0,0
1,CASH_OUT,13879.51,C754243,26785.81,12906.3,C480360,14409.78,28289.29,0,0
1,DEBIT,8560.19,C634071,12227.48,3667.29,C361125,47442.95,56003.14,0,0
1,PAYMENT,18534.2,C457599,24678.89,6144.69,M904719,3753.67,22287.87,0,0
2,PAYMENT,4215.51,C213014,12254.41,8038.9,M550847,17873.23,22088.74,0,0
2,TRANSFER,14722.8,C514311,32830.45,18107.65,C355355,19465.16,34187.96,0,0
2,DEBIT,22882.27,C453403,57730.31,34848.04,C242130,1768.16,24650.43,0,0
3,DEBIT,2095.16,C642060,4771.97,2676.81,C164451,7277.09,9372.25,0,0
3,TRANSFER,4727.63,C350257,11281.71,6554.08,C988936,33636.44,38364.07,0,0
3,PAYMENT,20747.03,C883210,53897.1,33150.07,M790135,37717.4,58464.43,0,0
3,DEBIT,24074.14,C604663,64628.35,40554.21,C168343,48360.02,72434.16,0,0
4,CASH_OUT,21006.39,C750458,32126.68,11120.29,C552016,30156.46,51162.85,0,0
4,TRANSFER,21631.29,C231842,62075.11,40443.82,C439813,37050.86,58682.15,0,0
4,TRANSFER,241.16,C899369,557.64,316.48,C301080,5983.75,6224.91,0,0
4,CASH_OUT,24071.42,C339715,66824.05,42752.63,C338777,26247.84,50319.26,0,0
5,CASH_OUT,5572.65,C692473,16063.92,10491.27,C419664,33167.53,38740.18,0,0
5,PAYMENT,12192.11,C566889,16458.83,4266.72,M430371,26416.65,38608.76,0,0
6,TRANSFER,5996.74,C909851,12917.44,6920.7,C691407,43270.43,49267.17,0,0
6,PAYMENT,11087.98,C220956,28575.46,17487.48,M516523,3125.29,14213.27,0,0
6,CASH_IN,4681.59,C432183,13363.83,8682.24,C444956,7263.27,11944.86,0,0
6,DEBIT,14169.31,C117243,39462.08,25292.77,C533912,28052.74,42222.05,0,0
7,TRANSFER,12804.4,C603627,22396.46,9592.06,C538458,27440.38,40244.78,0,0
7,CASH_IN,15565.79,C601826,25553.58,9987.79,C603059,6131.77,21697.56,0,0
7,CASH_IN,7297.19,C124692,10218.02,2920.83,C347521,30235.0,37532.19,0,0
7,CASH_OUT,21954.43,C211418,62543.8,40589.37,C350448,1649.38,23603.81,0,0
8,TRANSFER,5308.72,C845888,14018.8,8710.08,C469490,9441.63,14750.35,0,0
8,PAYMENT,11032.76,C234119,16292.17,5259.41,M338535,4982.78,16015.54,0,0
8,DEBIT,15155.64,C731228,30780.48,15624.84,C134786,12084.82,27240.46,0,0
9,DEBIT,2154.87,C882090,3119.07,964.2,C859661,14542.12,16696.99,0,0
9,DEBIT,20272.76,C454187,43613.52,23340.76,C210606,7434.3,27707.06,0,0
9,TRANSFER,8280.34,C867397,15706.67,7426.33,C213383,24179.33,32459.67,0,0
9,TRANSFER,18570.12,C763643,42213.6,23643.48,C909143,25519.23,44089.35,0,0
9,DEBIT,23820.77,C972072,38371.28,14550.51,C481743,38424.21,62244.98,0,0
10,PAYMENT,20109.94,C657903,23883.27,3773.33,M695230,21353.84,41463.78,0,0
10,DEBIT,9061.79,C476137,13895.04,4833.25,C440809,6652.94,15714.73,0,0
10,DEBIT,16148.42,C785977,16935.07,786.65,C177472,5031.97,21180.39,0,0
10,PAYMENT,2636.76,C962509,6375.18,3738.42,M571625,24586.25,27223.01,0,0
11,CASH_OUT,1607.3,C207717,2356.55,749.25,C833463,9482.69,11089.99,0,0
11,DEBIT,11350.58,C758614,13206.11,1855.53,C452952,4942.3,16292.88,0,0
11,DEBIT,16495.36,C241580,48838.95,32343.59,C395527,32540.16,49035.52,0,0
12,DEBIT,947.3,C335362,1324.71,377.41,C373975,26488.13,27435.43,0,0
12,CASH_OUT,5647.0,C226499,11633.54,5986.54,C455103,46370.43,52017.43,0,0
12,CASH_OUT,14292.82,C244152,25102.48,10809.66,C613003,37063.81,51356.63,0,0
12,CASH_OUT,9088.55,C516689,18203.81,9115.26,C468816,27972.71,37061.26,0,0
12,TRANSFER,5302.66,C220511,6363.37,1060.71,C141513,30289.49,35592.15,0,0
13,DEBIT,13671.84,C935463,21860.65,8188.81,C453479,19267.42,32939.26,0,0
13,TRANSFER,4966.52,C153608,6904.87,1938.35,C305988,24378.15,29344.67,0,0
13,TRANSFER,15174.02,C433757,45143.88,29969.86,C327909,11485.51,26659.53,0,0
14,DEBIT,12170.48,C522483,24550.14,12379.66,C203372,936.8,13107.28,0,0
14,DEBIT,16627.36,C774094,33113.39,16486.03,C613951,14915.68,31543.04,0,0
14,DEBIT,839.82,C592796,2436.03,1596.21,C216060,15456.77,16296.59,0,0
14,CASH_OUT,22595.24,C405193,52468.07,29872.83,C473611,19009.55,41604.79,0,0
15,TRANSFER,13376.62,C467870,29124.6,15747.98,C700089,2028.24,15404.86,0,0
15,CASH_OUT,4114.93,C965439,12069.99,7955.06,C617015,7646.25,11761.18,0,0
15,TRANSFER,5159.63,C813918,9953.55,4793.92,C100103,18932.34,24091.97,0,0
16,CASH_IN,22107.15,C195174,61553.37,39446.22,C287905,5202.75,27309.9,0,0
16,DEBIT,12940.96,C655064,25885.88,12944.92,C260797,39408.35,52349.31,0,0
16,TRANSFER,6609.47,C261795,8365.59,1756.12,C736132,10610.11,17219.58,0,0
17,PAYMENT,7641.72,C623094,20336.0,12694.28,M703810,38477.79,46119.51,0,0
17,CASH_OUT,1859.88,C110619,3613.81,1753.93,C769413,39923.87,41783.75,0,0
17,CASH_IN,11822.29,C168760,23283.29,11461.0,C557977,29774.99,41597.28,0,0
17,CASH_OUT,23557.43,C377590,28592.52,5035.09,C321749,14129.4,37686.83,0,0
17,PAYMENT,13415.25,C952596,27815.66,14400.41,M806846,36036.82,49452.07,0,0
18,PAYMENT,1297.37,C690520,3415.61,2118.24,M279762,27126.92,28424.29,0,0
18,CASH_OUT,8462.3,C216576,12348.85,3886.55,C264874,6761.23,15223.53,0,0
18,TRANSFER,11306.37,C933047,12262.61,956.24,C423851,21766.5,33072.87,0,0
19,TRANSFER,16247.87,C297224,48486.74,32238.87,C766733,26958.3,43206.17,0,0
19,PAYMENT,24735.7,C184052,34063.56,9327.86,M883563,48122.84,72858.54,0,0
20,CASH_IN,18131.24,C522731,19001.9,870.66,C631303,33902.01,52033.25,0,0
20,PAYMENT,9396.43,C919337,23225.01,13828.58,M948434,48371.17,57767.6,0,0
20,TRANSFER,16299.19,C897081,44049.74,27750.55,C176926,37073.8,53372.99,0,0
21,DEBIT,20038.29,C639290,52747.31,32709.02,C791684,21746.09,41784.38,0,0
21,PAYMENT,9605.6,C437057,9987.4,381.8,M722493,49290.65,58896.25,0,0
21,DEBIT,24492.64,C173797,59204.41,34711.77,C756940,40990.95,65483.59,0,0
21,PAYMENT,22972.45,C132676,28317.67,5345.22,M683722,36623.04,59595.49,0,0
21,TRANSFER,19931.17,C962211,56168.8,36237.63,C134907,16660.9,36592.07,0,0
22,CASH_IN,16013.1,C318996,21593.61,5580.51,C295612,1149.54,17162.64,0,0
22,CASH_IN,14579.39,C565654,35426.94,20847.55,C849438,15486.39,30065.78,0,0
22,TRANSFER,348.04,C870248,752.4,404.36,C921211,47362.99,47711.03,0,0
23,CASH_IN,10832.18,C461897,23477.56,12645.38,C833972,40479.5,51311.68,0,0
23,DEBIT,22987.34,C761511,37694.1,14706.76,C234327,26054.02,49041.36,0,0
23,CASH_OUT,4062.33,C427479,4652.38,590.05,C813486,1596.96,5659.29,0,0
23,TRANSFER,18332.8,C286043,23057.24,4724.44,C693918,41301.32,59634.12,0,0
23,CASH_IN,20299.24,C451375,36419.13,16119.89,C438587,9291.28,29590.52,0,0
24,PAYMENT,17168.1,C281009,32833.38,15665.28,M889228,11034.3,28202.4,0,0
24,PAYMENT,4238.55,C644068,12642.2,8403.65,M709971,25082.44,29320.99,0,0
24,PAYMENT,19313.78,C789507,38367.56,19053.78,M778744,18330.62,37644.4,0,0
24,CASH_OUT,9043.09,C826972,18312.28,9269.19,C450909,10655.93,19699.02,0,0
24,PAYMENT,10755.92,C963143,14814.01,4058.09,M489125,22517.83,33273.75,0,0
25,CASH_IN,19437.87,C593571,47864.87,28427.0,C118081,47135.37,66573.24,0,0
25,CASH_IN,4652.3,C253284,5883.1,1230.8,C489817,32820.17,37472.47,0,0
25,CASH_OUT,15113.67,C383890,43903.79,28790.12,C917513,5328.89,20442.56,0,0
26,PAYMENT,6352.29,C528022,17420.75,11068.46,M241174,36994.96,43347.25,0,0
26,CASH_OUT,9976.47,C106824,12098.0,2121.53,C140220,32278.81,42255.28,0,0
27,CASH_OUT,9228.87,C599673,11473.6,2244.73,C173861,10480.75,19709.62,0,0
27,CASH_OUT,20540.23,C251361,52163.29,31623.06,C196861,28768.07,49308.3,0,0
27,PAYMENT,23258.33,C277263,65898.47,42640.14,M126299,7610.07,30868.4,0,0
28,PAYMENT,19383.17,C700685,37456.64,18073.47,M857546,4820.72,24203.89,0,0
28,CASH_IN,21161.72,C142866,58405.85,37244.13,C759364,39024.23,60185.95,0,0
29,CASH_IN,7909.1,C120545,20678.25,12769.15,C800447,34730.25,42639.35,0,0
29,PAYMENT,15246.78,C131738,18087.98,2841.2,M834232,45594.74,60841.52,0,0
29,CASH_IN,8211.29,C395451,9487.87,1276.58,C576297,2417.2,10628.49,0,0
30,CASH_IN,15663.07,C373107,25388.44,9725.37,C565073,32581.19,48244.26,0,0
30,PAYMENT,3471.68,C802103,4905.58,1433.9,M545964,5093.13,8564.81,0,0
31,CASH_OUT,7460.3,C846873,18802.02,11341.72,C101966,36743.65,44203.95,0,0
31,DEBIT,4266.05,C357700,10381.92,6115.87,C659861,10303.41,14569.46,0,0
31,TRANSFER,11813.96,C724234,17691.18,5877.22,C747466,4478.33,16292.29,0,0
31,DEBIT,19639.59,C549256,44522.21,24882.62,C276786,778.55,20418.14,0,0
31,CASH_IN,12694.38,C467975,21119.64,8425.26,C792211,49420.11,62114.49,0,0
32,CASH_IN,5461.1,C220969,13673.22,8212.12,C864837,45351.97,50813.07,0,0
32,TRANSFER,18812.67,C251193,38341.43,19528.76,C231807,40246.15,59058.82,0,0
33,PAYMENT,2479.07,C504976,6675.44,4196.37,M870693,37485.33,39964.4,0,0
33,CASH_OUT,6168.82,C283487,10097.39,3928.57,C111348,10642.58,16811.4,0,0
34,CASH_IN,9958.19,C481781,21493.25,11535.06,C931457,7911.63,17869.82,0,0
34,CASH_OUT,7379.28,C350508,15329.92,7950.64,C943565,18440.16,25819.44,0,0
34,CASH_OUT,18365.49,C865222,53480.25,35114.76,C887941,20651.55,39017.04,0,0
35,CASH_IN,7038.4,C409482,14151.53,7113.13,C281424,9161.67,16200.07,0,0
35,CASH_OUT,22935.77,C597445,24756.98,1821.21,C387313,37393.42,60329.19,0,0
36,TRANSFER,12996.25,C161134,15509.18,2512.93,C679931,17271.79,30268.04,0,0
36,DEBIT,14256.96,C789213,39484.86,25227.9,C574429,152.41,14409.37,0,0
36,TRANSFER,23308.28,C532060,38616.75,15308.47,C425186,543.16,23851.44,0,0
36,CASH_IN,18559.73,C219292,46806.49,28246.76,C458463,27934.8,46494.53,0,0
36,PAYMENT,8747.47,C774034,11330.86,2583.39,M294325,10556.79,19304.26,0,0
37,PAYMENT,4419.65,C813966,5325.25,905.6,M607429,32550.34,36969.99,0,0
37,CASH_OUT,2021.58,C151588,3968.54,1946.96,C872997,41974.35,43995.93,0,0
37,TRANSFER,24585.4,C722556,34406.13,9820.73,C358529,41514.06,66099.46,0,0
37,PAYMENT,20594.33,C770441,23733.45,3139.12,M884489,21143.66,41737.99,0,0
37,DEBIT,15238.07,C671601,20591.61,5353.54,C984220,22118.62,37356.69,0,0
38,PAYMENT,24068.72,C839728,66388.34,42319.62,M815596,15124.82,39193.54,0,0
38,CASH_IN,23644.71,C509760,65389.03,41744.32,C524445,16970.26,40614.97,0,0
38,PAYMENT,8106.95,C122504,13573.86,5466.91,M390240,5715.23,13822.18,0,0
38,CASH_OUT,17753.03,C230103,24128.07,6375.04,C803420,37322.17,55075.2,0,0
38,CASH_IN,226.83,C558579,610.32,383.49,C824080,47787.6,48014.43,0,0
39,DEBIT,267.41,C793643,662.2,394.79,C947067,5782.06,6049.47,0,0
39,CASH_IN,8797.3,C209023,14284.5,5487.2,C918193,45524.25,54321.55,0,0
39,CASH_IN,5262.35,C657090,15080.19,9817.84,C373702,42210.92,47473.27,0,0
40,PAYMENT,8784.76,C955154,9335.7,550.94,M769763,9774.41,18559.17,0,0
40,DEBIT,16499.74,C579880,23585.89,7086.15,C625114,28714.56,45214.3,0,0
40,DEBIT,214.76,C918563,553.44,338.68,C714088,30725.56,30940.32,0,0
40,PAYMENT,3615.2,C521357,10382.17,6766.97,M265389,9518.53,13133.73,0,0
41,CASH_IN,3894.59,C882605,7484.36,3589.77,C599782,11284.23,15178.82,0,0
41,PAYMENT,13981.53,C755133,39358.06,25376.53,M580717,29663.57,43645.1,0,0
41,TRANSFER,12505.04,C141712,12755.66,250.62,C765926,47300.17,59805.21,0,0
41,CASH_OUT,3003.85,C908969,7930.66,4926.81,C990773,894.97,3898.82,0,0
41,PAYMENT,10103.17,C698063,19738.64,9635.47,M503505,42026.21,52129.38,0,0
42,CASH_IN,10964.31,C540255,26694.55,15730.24,C634317,14738.02,25702.33,0,0
42,CASH_IN,17421.98,C109815,17959.84,537.86,C532232,48801.77,66223.75,0,0
43,CASH_IN,7402.9,C285498,12324.14,4921.24,C557148,3544.04,10946.94,0,0
43,CASH_OUT,1837.29,C359710,2218.82,381.53,C488961,34395.15,36232.44,0,0
43,TRANSFER,1904.35,C306491,5012.93,3108.58,C629463,33454.23,35358.58,0,0
44,DEBIT,8842.94,C846732,9515.23,672.29,C820445,14476.76,23319.7,0,0
44,CASH_OUT,21038.29,C744966,26948.65,5910.36,C171443,45393.6,66431.89,0,0
44,PAYMENT,3495.85,C101223,7863.86,4368.01,M696616,17883.24,21379.09,0,0
44,CASH_OUT,3047.0,C279421,8100.07,5053.07,C853339,5214.03,8261.03,0,0
45,TRANSFER,5497.64,C556598,14733.12,9235.48,C305977,5010.99,10508.63,0,0
45,CASH_IN,1821.44,C937503,3893.42,2071.98,C128502,33640.32,35461.76,0,0
45,CASH_OUT,23011.64,C532725,63038.06,40026.42,C331773,46654.75,69666.39,0,0
45,CASH_OUT,10705.8,C868018,23431.74,12725.94,C810396,14339.5,25045.3,0,0
46,CASH_OUT,3931.79,C827942,10891.21,6959.42,C782603,5729.18,9660.97,0,0
46,DEBIT,7686.05,C476441,8071.66,385.61,C926799,40350.47,48036.52,0,0
47,DEBIT,149.26,C790119,335.37,186.11,C726320,28622.54,28771.8,0,0
47,CASH_OUT,10445.55,C596427,17409.87,6964.32,C641396,19683.37,30128.92,0,0
47,DEBIT,17447.26,C429630,20932.57,3485.31,C522269,21754.07,39201.33,0,0
